COM4
2018-11-06 20:00:54
0700190007001900070019000700190007001900
070019000700190007001900070019000700190000000000000000000000
0700190007001900070019000700190007001900
070019000700190007001900070019000700190000000000000000000000
131120181311201813112018131120181311201807000700070007000700
131120181311201813112018131120181311201807000700070007000700
0700190007001900070019000700190007001900
070019000700190007001900070019000700190000000000000000000000
041220180412201804122018041220180412201807000700070007000700
041220180412201804122018041220180412201807000700070007000700
HH:MM:SS MO/DY/YEAR LED01 PIR01 LED02 PIR02 LED03 PIR03 LED04 PIR04 LED05 PIR05 LED06 PIR06 LED07 PIR07 LED08 PIR08 LED09 PIR09 LED10 PIR10
21:12:00 11/06/2018 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 01000 00000 00000 00000 00000 00000 00000  
21:14:00 11/06/2018 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 01000 00000 00000 00000 00000 00000 00000  
21:15:00 11/06/2018 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 01000 00000 00000 00000 00000 00000 00000  
21:16:00 11/06/2018 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 01000 00000 00000 00000 00000 00000 00000  
21:17:00 11/06/2018 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 01000 00000 00000 00000 00000 00000 00000  
21:18:00 11/06/2018 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 01000 00000 00000 00000 00000 00000 00000  
21:19:00 11/06/2018 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 01000 00000 00000 00000 00000 00000 00000  
21:20:00 11/06/2018 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 01000 00000 00000 00000 00000 00000 00000  
21:21:00 11/06/2018 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 01000 00000 00000 00000 00000 00000 00000  
21:22:00 11/06/2018 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 01000 00000 00000 00000 00000 00000 00000  
21:23:00 11/06/2018 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 01000 00000 00000 00000 00000 00000 00000  
21:24:00 11/06/2018 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 01000 00000 00000 00000 00000 00000 00000  
21:26:00 11/06/2018 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 01000 00000 00000 00000 00000 00000 00000  
21:27:00 11/06/2018 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 01000 00000 00000 00000 00000 00000 00000  
21:28:00 11/06/2018 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 01000 00000 00000 00000 00000 00000 00000  
21:29:00 11/06/2018 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 01000 00000 00000 00000 00000 00000 00000  
21:30:00 11/06/2018 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 01000 00000 00000 00000 00000 00000 00000  
21:31:00 11/06/2018 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 01000 00000 00000 00000 00000 00000 00000  
21:32:00 11/06/2018 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 01000 00000 00000 00000 00000 00000 00000  
21:33:00 11/06/2018 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 01000 00000 00000 00000 00000 00000 00000  
21:34:00 11/06/2018 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 01000 00000 00000 00000 00000 00000 00000  
21:35:00 11/06/2018 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 01000 00000 00000 00000 00000 00000 00000  
21:36:00 11/06/2018 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 01000 00000 00000 00000 00000 00000 00000  
21:38:00 11/06/2018 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 01000 00000 00000 00000 00000 00000 00000  
21:39:00 11/06/2018 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 01000 00000 00000 00000 00000 00000 00000  
21:40:00 11/06/2018 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 01000 00000 00000 00000 00000 00000 00000  
21:41:00 11/06/2018 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 01000 00000 00000 00000 00000 00000 00000  
21:42:00 11/06/2018 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 00000 01000 00000 00000 00000 00000 00000 00000  
